sexo Idade REG Q1 Q2 Q3 Ramo_atividade Ocupação UF Q402 Q403 Q404 Q405 Q406 Q407 Q501 Q502 Q7 Q8 Q12P1A Q12P2A Q12P2B Q18 Q21 Q22A P1 P8 P9 P1001 P1002 P1003 P1004 P1101 P1102 P1103 P1104 P1105 P12 P24 P25 P26 P29 P30 D4 D12A Q13B2 Q13B2A Q10A Q10B Q11 Q12P1B Q13A Q13B Q22B Q22C Q22D P1A D51 D52 Q1501 Q1502 Q1503 Q1504 Q1505 Q1506 Q1507 Q1508 Q1509 Q1510 Q1511 Q1512 Q1513 Q1514 Q1515 Q1516 Q1517 Q1518 Q1519 Q1520 Q1521 Q1522 Q1523 Q1524 Q1525 Q1526 Escolaridade Q14A Q14B P201 P203 P204 P205 P207 P208 P209 P210 P211 P212 P213 P216 P217 P215 P202 P206 P214 P18 Q1601 Q1602 Q1603 Q1604 Q1605 Q1606 Q1607 Q1608 Q1609 Q1610 Q1611 Q1612 Q1613 Q1614 Q1615 Q1616 Q1617 Q1618 Q1619 Q1620 Q1621 P301 P302 P304 P305 P308 P309 P310 P311 P312 P303 P307 P306 P401 P402 P403 P404 P405 P406 P407 P408 P409 P410 P411 P412 P5 P601 P602 P603 P604 P605 P606 P607 P608 P609 P610 P611 P612 P613 P614 P615 P616 P27 D11 D10 D9Renda D7 seq Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 final_gik1 final_gik2 final_gik3
2 4 1 4 3 2 6 2 2 1 5 1 3 1 1 3 1 1 1 1 1 2 11 5 2 1 4 2 1 1 1 1 1 1 1 1 1 1 1 10 11 2 2 1 2 4 7 2 28 5 9 1 2 2 32 6 4 2 2 2 12 12 12 2 14 12 2 12 12 2 12 2 12 12 12 12 2 12 12 12 12 12 12 12 11 6 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 5 2 1 2 1 1 2 11 2 2 2 2 2 2 2 2 2 2 1 2 2 2 5 1 6 6 6 1 6 5 1 1 5 5 3 1 1 3 4 3 4 4 1 3 3 1 2 1 4 1 1 3 1 2 2 2 1 1 4 3 3 1 4 2 3 5 4 3 1 2414326221513113111112115214211111111111101122124722859122326422212121221412212122122121212122121212121212121165522222222222222212521211211222222222212225166616511553113434413312141131222114331423543 1 0,3333 0,3333 0,3333 0,2774 0,3458 0,3768
1 2 1 4 3 3 4 1 2 1 1 1 3 1 1 3 4 1 2 1 1 2 11 4 2 1 2 1 1 2 4 1 1 1 1 1 1 1 2 1 1 2 1 2 2 5 7 2 28 3 9 5 16 1 8 2 4 2 2 1 6 12 12 1 12 12 1 1 12 12 10 12 12 12 12 12 12 12 12 12 12 12 12 12 11 6 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 4 1 1 11 1 1 1 1 1 4 1 12 1 1 1 1 1 1 2 2 2 1 5 2 2 6 2 2 6 2 1 3 1 1 3 3 3 3 1 3 4 3 2 1 1 1 1 1 1 4 4 6 11 1 1 1 1 1 1 12 4 3 5 10 2 1214334121113113412112114212112411111112112122572283951618242216121211212111212101212121212121212121212121211655222222222222222222111411111111141121111112221522622621311333313432111111446111111111243510 1 0,3333 0,3333 0,3333 0,5561 0,3778 0,0661
2 2 1 4 4 3 10 4 2 3 5 1 3 3 1 3 2 1 3 1 1 2 11 5 2 1 2 2 2 4 1 4 2 1 4 5 5 1 2 4 1 1 1 3 2 1 2 2 28 5 9 1 2 2 32 6 4 2 2 1 12 3 12 4 12 12 12 12 12 12 3 12 4 12 12 3 12 12 12 12 12 12 12 12 11 7 4 5 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 12 12 4 3 1 4 1 12 2 12 12 12 12 12 2 2 1 12 12 1 1 1 6 6 5 2 6 6 2 2 2 2 1 1 4 3 3 3 4 4 3 3 4 3 2 1 1 1 1 1 1 3 2 6 1 1 1 1 1 1 6 2 2 3 7 11 3 2214431042351331321311211521222414214551241113212228591223264221123124121212121212312412123121212121212121211745222122222222122122112124314112212121212122211212111665266222211433344334321111113261111116223711 1 0,3333 0,3333 0,3333 0,1443 0,6118 0,2438
1 4 1 4 3 2 3 3 2 1 3 1 1 1 1 3 2 1 2 1 1 2 11 4 2 1 1 1 1 1 2 5 1 1 1 1 1 1 1 1 3 1 2 2 2 1 2 1 8 5 9 1 2 1 8 2 4 2 2 1 1 12 1 1 1 1 1 1 12 1 11 1 1 1 12 1 1 12 12 1 1 12 1 1 11 4 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 1 12 1 1 1 1 11 1 12 1 1 1 7 1 12 1 1 1 1 1 1 2 2 6 6 6 2 6 6 6 2 6 6 4 4 1 4 4 4 4 4 1 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 3 2 3 4 141432332131111321211211421111125111111113122212185912182422111211111112111111121112121112111145522222222222222222511211111111211171121111112266626662664414444414442111111111111111124323 1 0,3333 0,3333 0,3333 0,8819 0,1181 0
1 6 1 1 4 1 1 3 2 1 5 1 1 4 1 4 2 1 1 1 1 2 11 5 1 1 2 3 5 1 3 1 1 1 5 1 5 1 1 5 3 2 1 3 6 1 1 1 4 5 9 1 7 5 8 2 4 2 2 1 6 9 12 11 12 12 8 12 12 11 12 12 9 12 12 12 12 12 6 9 12 5 12 11 11 1 5 5 1 1 2 2 1 2 2 2 2 2 2 2 1 2 1 1 1 6 12 12 12 11 9 12 11 11 12 11 12 12 12 12 12 12 9 1 12 12 9 2 2 6 2 6 2 2 2 2 2 5 2 1 1 1 3 1 1 3 3 1 1 1 1 1 1 1 1 1 1 11 11 11 1 1 12 13 11 1 1 1 2 3 5 1 16 5 161141132151141421111211511235131115151153213611145917582422169121112128121211121291212121212691251211111551122122222221211161212121191211111211121212121212911212922626222225211131133111111111111111111121311111235116 1 0,3333 0,3333 0,3333 0,0162 0,6788 0,305
2 5 1 4 3 2 7 1 2 1 3 1 3 1 1 2 4 1 1 1 1 2 11 5 2 2 1 2 1 1 1 1 1 1 1 1 1 1 2 2 7 2 1 2 1 1 2 2 28 5 9 1 15 1 31 6 30 2 2 11 6 12 12 11 6 12 12 12 12 12 6 12 12 12 12 12 6 12 6 12 12 12 12 12 11 1 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 4 6 12 12 6 6 12 11 12 12 6 12 12 12 12 12 12 12 6 12 12 1 1 2 6 6 6 1 6 1 1 1 6 2 1 3 1 4 4 1 4 4 1 4 4 4 1 1 1 6 11 11 1 11 11 6 1 1 1 11 6 11 1 4 3 3 1 1 6 2514327121313112411112115221211111111112272121122285911513163022116121211612121212126121212121261261212121212111552222222222222221246121266121112126121212121212126121211266616111621314414414441116111111111611111611143311 1 0,3333 0,3333 0,3333 0 0,8878 0,1122
2 2 1 4 4 4 10 4 2 1 5 2 4 2 1 4 3 1 3 1 1 2 8 5 2 1 4 3 2 1 3 3 2 1 3 4 4 1 2 5 4 2 2 3 2 3 7 2 28 5 9 3 16 2 32 6 4 2 2 1 12 14 12 1 1 1 1 12 12 1 12 1 11 12 12 8 12 1 1 5 2 14 1 12 11 5 5 4 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 1 9 12 1 1 1 14 11 7 12 1 8 12 10 12 12 12 14 1 12 12 1 3 1 6 6 2 1 4 2 1 1 2 3 3 1 3 4 2 4 4 4 1 2 3 2 2 10 6 2 8 3 2 6 3 1 1 5 10 10 7 3 4 17 2 5 8 17 7 221444104215242143131128521432133213441254223237228593162326422112141211111212112111121281211521411211554222222122222222121912111141171218121012121214112121316621421123313424441232210628326311510107341725817 1 0,3333 0,3333 0,3333 0,2828 0,4125 0,3047
1 3 1 3 3 2 5 2 2 1 5 1 5 1 1 1 1 1 1 1 1 2 1 5 2 1 1 2 1 1 1 1 1 1 1 5 5 1 2 8 3 2 2 2 5 1 2 1 8 5 9 1 2 2 32 6 4 1 2 12 12 12 12 12 12 12 12 12 12 12 11 12 12 12 12 12 12 12 12 12 12 12 12 12 11 9 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 1 1 1 6 1 7 11 1 1 1 1 1 11 1 4 1 1 1 1 1 1 6 1 6 6 6 1 6 6 1 2 6 6 4 1 1 4 3 4 4 4 1 4 4 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 5 5 3 3 8 1313325221515111111112152112111111155128322251218591223264121212121212121212121212111212121212121212121212121211955222222222222222225111617111111111141111116166616612664114344414412111111111111111185533 1 0,3333 0,3333 0,3333 0,6485 0,3515 0
2 3 1 4 4 4 4 1 2 1 1 1 1 2 1 2 1 1 1 1 1 2 11 4 2 1 3 1 1 1 2 1 2 2 4 1 1 1 2 2 1 1 2 2 2 1 4 2 28 5 9 1 15 2 32 6 4 2 2 3 12 6 12 9 6 12 9 12 12 4 8 12 5 12 12 6 6 6 8 5 7 5 12 12 11 9 3 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 12 6 6 8 9 3 12 1 4 12 12 12 12 12 4 1 12 4 2 2 2 2 1 6 2 5 6 5 1 6 5 3 3 2 3 3 3 4 4 2 3 4 4 2 2 1 5 6 3 3 4 4 1 5 6 3 1 1 1 3 4 5 5 3 3 9 23144441211112121111121142131112122411122112221422859115232642231261296129121248125121266685751212119342222222222222222222121266893121412121212124112422221625651653323334423442215633441563111345533 1 0,3333 0,3333 0,3333 0,0095 0,2911 0,6994
1 3 1 2 2 1 7 1 2 1 5 1 5 1 1 2 1 1 1 7 4 7 11 5 2 1 1 1 1 2 2 1 4 1 2 1 1 1 2 1 1 2 1 3 2 1 1 2 28 4 17 1 1 1 24 2 4 1 1 1 5 3 3 6 9 7 9 12 12 12 9 2 1 1 9 12 6 3 6 9 6 3 2 12 3 7 5 5 2 2 1 2 2 1 2 2 2 1 2 2 2 2 2 1 2 5 9 1 1 9 1 1 11 6 1 1 1 3 1 12 12 12 9 1 12 1 1 2 2 6 6 6 6 6 6 2 2 5 2 3 3 4 4 4 4 4 4 4 4 4 3 2 1 1 1 1 1 1 9 9 6 1 1 6 1 1 1 1 7 2 5 3 1 10 1312217121515112111747115211112214121112112132112284171112424111533697912121292119126369632123755221221222122222125911911116111311212129112112266666622523344444444432111111996116111172531 1 0,3333 0,3333 0,3333 0,5527 0,0014 0,4458
